,E_POA_kWm2,Panel_POA_kWm2,E_Beam_kWm2,E_Diffuse_kWm2,E_Ground_kWm2,ET_HRad_kWm2,Wind_Speed_ms,Ambient_Temperature_C,Declination_Angle,Solar_Time,Hour_Angle,AOI,Zenith_Angle,Hour_of_Day,Day_of_Year,Week_of_Year,Month_of_Year
0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.07,-23.011636727869245,0.056352959999999966,-179.1547056,176.50309439132104,148.40077198092098,0,1,1,1
1,0.0,0.0,0.0,0.0,0.0,0.0,5.73,2.63,-23.011636727869245,1.05635296,-164.1547056,164.85899327883078,146.2566954512116,1,1,1,1
2,0.0,0.0,0.0,0.0,0.0,0.0,5.77,2.18,-23.011636727869245,2.05635296,-149.1547056,151.11484284230684,140.93067303729023,2,1,1,1
3,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.73,-23.011636727869245,3.05635296,-134.1547056,137.32090752754812,133.63332316360385,3,1,1,1
4,0.0,0.0,0.0,0.0,0.0,0.0,5.84,1.28,-23.011636727869245,4.05635296,-119.1547056,123.61246895509295,125.33729354582088,4,1,1,1
5,0.0,0.0,0.0,0.0,0.0,0.0,5.87,0.84,-23.011636727869245,5.05635296,-104.1547056,110.07177696011296,116.68192644501686,5,1,1,1
6,0.0,0.0,0.0,0.0,0.0,0.0,5.91,0.39,-23.011636727869245,6.05635296,-89.1547056,96.79813091406862,108.10751143287551,6,1,1,1
7,0.0,0.0,0.0,0.0,0.0,0.0,5.94,-0.06,-23.011636727869245,7.05635296,-74.1547056,83.93928974508489,99.96816094628515,7,1,1,1
8,0.0,0.0,0.0,0.0,0.0,0.015732450643997527,6.55,0.78,-23.011636727869245,8.05635296,-59.1547056,71.73561939616408,92.59757913857625,8,1,1,1
9,0.0,0.0,0.0,0.0,0.0,0.15224281464626838,6.7,1.39,-23.011636727869245,9.05635296,-44.1547056,60.59855422147882,86.34024727415347,9,1,1,1
10,0.01127386090749313,0.01127386090749313,0.0,0.01105684336063992,0.00021701754685320986,0.24771202753175406,6.86,2.01,-23.011636727869245,10.05635296,-29.1547056,51.24033744902547,81.55170535557005,10,1,1,1
11,0.02347306454916222,0.02347306454916222,0.0,0.0230209446598847,0.0004521198892775205,0.2956340202126416,7.01,2.62,-23.011636727869245,11.05635296,-14.154705600000002,44.79915971600167,78.56397473152187,11,1,1,1
12,0.02628482431063246,0.02628482431063246,0.0,0.025778450034641638,0.0005063742759908229,0.29274298808256705,6.54,2.53,-23.011636727869245,12.05635296,0.8452943999999984,42.624140978715594,77.61956007860915,12,1,1,1
13,0.027230061397849063,0.027230061397849063,0.0,0.026705602326287138,0.0005244590715619238,0.2392359502035373,6.08,2.44,-23.011636727869245,13.05635296,15.845294399999998,45.33505605539087,78.80186469263175,13,1,1,1
14,0.019731067387251774,0.019731067387251774,0.0,0.019351286680258657,0.00037978070699311723,0.13875932278244804,5.61,2.35,-23.011636727869245,14.05635296,30.8452944,52.1741540208492,82.00701700555042,14,1,1,1
15,0.00021701754685320986,0.00021701754685320986,0.0,0.0,0.00021701754685320986,0.0,5.61,1.83,-23.011636727869245,15.05635296,45.8452944,61.78147121838629,86.97862523858367,15,1,1,1
16,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1.32,-23.011636727869245,16.056352959999998,60.84529439999997,73.06740111225987,93.37916563320893,16,1,1,1
17,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.81,-23.011636727869245,17.056352959999998,75.84529439999997,85.36137877587532,100.85329524462759,17,1,1,1
18,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.67,-23.011636727869245,18.056352959999998,90.84529439999997,98.27675234240728,109.05835989883569,18,1,1,1
19,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.54,-23.011636727869245,19.056352959999998,105.84529439999997,111.58668432794136,117.66047839733012,19,1,1,1
20,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.4,-23.011636727869245,20.056352959999998,120.84529439999997,125.1506603855465,126.29986812138469,20,1,1,1
21,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.58,-23.011636727869245,21.056352959999998,135.84529439999997,138.8728672711495,134.52041943079016,21,1,1,1
22,0.0,0.0,0.0,0.0,0.0,0.0,5.91,0.75,-23.011636727869245,22.056352959999998,150.84529439999997,152.67053537513067,141.6512674862736,22,1,1,1
23,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.93,-23.011636727869245,23.056352959999998,165.84529439999997,166.38693032687033,146.6789667935943,23,1,1,1
24,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.9,-22.930543608307655,0.04889911451781814,-179.26651328223272,176.60449413274756,148.32125427924476,0,2,1,1
25,0.0,0.0,0.0,0.0,0.0,0.0,5.92,0.88,-22.930543608307655,1.0488991145178181,-164.26651328223272,164.97437123053865,146.2081201367689,1,2,1,1
